CODE,NAME,DISEASE,BASE_ANTIGEN,INTRO_YEAR,CASES_BEFORE,CASES_AFTER,ABS_CHANGE,PCT_CHANGE
DEU,Germany,POLIO,IPV1_FRAC,2018.0,1.4736842105263157,0.0,-1.4736842105263157,-100.0
DEU,Germany,POLIO,IPV2_FRAC,2018.0,1.4736842105263157,0.0,-1.4736842105263157,-100.0
DJI,Djibouti,POLIO,IPV1,2014.0,9.166666666666666,0.0,-9.166666666666666,-100.0
DJI,Djibouti,POLIO,IPV1_FRAC,2018.0,8.088235294117647,0.0,-8.088235294117647,-100.0
DJI,Djibouti,POLIO,IPV2,2021.0,7.4324324324324325,0.0,-7.4324324324324325,-100.0
DJI,Djibouti,POLIO,IPV2_FRAC,2018.0,8.088235294117647,0.0,-8.088235294117647,-100.0
DMA,Dominica,POLIO,IPV1,2014.0,0.0,0.0,0.0,
DMA,Dominica,POLIO,IPV1_FRAC,2018.0,0.0,0.0,0.0,
DMA,Dominica,POLIO,IPV2,2020.0,0.0,0.0,0.0,
DMA,Dominica,POLIO,IPV2_FRAC,2018.0,0.0,0.0,0.0,
DNK,Denmark,POLIO,IPV1,2014.0,0.058823529411764705,0.0,-0.058823529411764705,-100.0
DNK,Denmark,POLIO,IPV1_FRAC,2018.0,0.05263157894736842,0.0,-0.05263157894736842,-100.0
DNK,Denmark,POLIO,IPV2_FRAC,2018.0,0.05263157894736842,0.0,-0.05263157894736842,-100.0
DOM,Dominican Republic,POLIO,IPV1,2014.0,9.235294117647058,0.0,-9.235294117647058,-100.0
DOM,Dominican Republic,POLIO,IPV1_FRAC,2018.0,8.263157894736842,0.0,-8.263157894736842,-100.0
DOM,Dominican Republic,POLIO,IPV2,2020.0,7.85,0.0,-7.85,-100.0
DOM,Dominican Republic,POLIO,IPV2_FRAC,2018.0,8.263157894736842,0.0,-8.263157894736842,-100.0
DZA,Algeria,POLIO,IPV1,2014.0,21.41176470588235,0.3333333333333333,-21.07843137254902,-98.44322344322345
DZA,Algeria,POLIO,IPV1_FRAC,2018.0,19.157894736842106,0.6,-18.557894736842105,-96.86813186813185
DZA,Algeria,POLIO,IPV2,2021.0,17.75609756097561,1.5,-16.25609756097561,-91.5521978021978
DZA,Algeria,POLIO,IPV2_FRAC,2018.0,19.157894736842106,0.6,-18.557894736842105,-96.86813186813185
ECU,Ecuador,POLIO,IPV1,2014.0,2.5294117647058822,0.0,-2.5294117647058822,-100.0
ECU,Ecuador,POLIO,IPV1_FRAC,2018.0,2.263157894736842,0.0,-2.263157894736842,-100.0
ECU,Ecuador,POLIO,IPV2,2020.0,2.15,0.0,-2.15,-100.0
ECU,Ecuador,POLIO,IPV2_FRAC,2018.0,2.263157894736842,0.0,-2.263157894736842,-100.0
EGY,Egypt,POLIO,IPV1,2014.0,365.7352941176471,0.0,-365.7352941176471,-100.0
EGY,Egypt,POLIO,IPV1_FRAC,2018.0,327.2368421052632,0.0,-327.2368421052632,-100.0
EGY,Egypt,POLIO,IPV2,2021.0,303.2926829268293,0.0,-303.2926829268293,-100.0
EGY,Egypt,POLIO,IPV2_FRAC,2018.0,327.2368421052632,0.0,-327.2368421052632,-100.0
EMR,Eastern Mediterranean Region,POLIO,IPV1,2015.0,2077.6857142857143,126.55555555555556,-1951.1301587301587,-93.90882101727959
EMR,Eastern Mediterranean Region,POLIO,IPV2,2021.0,1793.7073170731708,105.33333333333333,-1688.3739837398375,-94.12761868501445
ERI,Eritrea,POLIO,IPV1,2014.0,4.5,0.3333333333333333,-4.166666666666667,-92.59259259259261
ERI,Eritrea,POLIO,IPV1_FRAC,2018.0,3.7916666666666665,0.4,-3.3916666666666666,-89.45054945054946
ERI,Eritrea,POLIO,IPV2,2021.0,3.3703703703703702,1.0,-2.3703703703703702,-70.32967032967032
